DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n3;[2];[30];[1];[2];[0];n3;[1];[20];[1];[2];[0]
n3;[2];[40];[1];[2];[0];n3;[1];[20];[1];[2];[0]
n3;[4];[25];[2];[2];[0];n3;[1];[40];[1];[2];[0]
n77;[4];[100];[2];[2];[1];n77;[1];[100];[2];[2];[1]
n77;[4];[100];[2];[2];[1];n77;[2];[100];[2];[2];[1]
n3_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n77;[2];[100];[2];[2];[1]
n3_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n3;[1];[20];[1];[2];[0]
3_n77;[4];[100];[2];[2];[1];3_n77;[1];[100];[2];[2];[1]
3_n77;[4];[100];[2];[2];[1];3_n77;[1];[100];[2];[2];[1]
3_n257;[2];[100];[4];[1];[0];3_n257;[1];[100];[4];[1];[0]
3_n257;[2];[100];[4];[1];[0];3_n257;[1];[100];[None];[None];[None]
3_n257G;[2, 2];[100, 100];[4, 4];[1, 1];[0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257G;[2, 2];[100, 100];[4, 4];[1, 1];[0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257H;[2, 2, 2];[100, 100, 100];[4, 4, 4];[1, 1, 1];[0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257H;[2, 2, 2];[100, 100, 100];[4, 4, 4];[1, 1, 1];[0, 0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257I;[2, 2, 2, 2];[100, 100, 100, 100];[4, 4, 4, 4];[1, 1, 1, 1];[0, 0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257I;[2, 2, 2, 2];[100, 100, 100, 100];[4, 4, 4, 4];[1, 1, 1, 1];[0, 0, 0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257J;[2, 2, 2, 2, 2];[100, 100, 100, 100, 100];[4, 4, 4, 4, 4];[1, 1, 1, 1, 1];[0, 0, 0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257J;[2, 2, 2, 2, 2];[100, 100, 100, 100, 100];[4, 4, 4, 4, 4];[1, 1, 1, 1, 1];[0, 0, 0, 0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257K;[2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257K;[2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257L;[2, 2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257L;[2, 2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0];3_n257;[1];[100];[None];[None];[None]
3_n257M;[2, 2, 2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0];3_n257;[1];[100];[4];[1];[0]
3_n257M;[2, 2, 2, 2, 2, 2, 2, 2];[100, 100, 100, 100, 100, 100, 100, 100];[4, 4, 4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0];3_n257;[1];[100];[None];[None];[None]
